domain	position
NB	0.351940095303
LRR	0.875765827093
LRR	0.762763784888
LRR	0.572838665759
LRR	0.774676650783
ID	0.107896528251
NB	0.127542126671
LRR	0.345148169669
ID	0.735328297501
LRR	0.667387543253
NB	0.225129757785
LRR	0.571150519031
LRR	0.41955017301
LRR	0.946150519031
LRR	0.839316608997
LRR	0.809472318339
LRR	0.755406574394
LRR	0.871107266436
LRR	0.344074394464
ID	0.068339100346
LRR	0.38473183391
LRR	0.958693771626
LRR	0.929714532872
LRR	0.38473183391
LRR	0.624134948097
LRR	0.310337370242
LRR	0.385380622837
LRR	0.508650519031
ID	0.899775617053
LRR	0.608825729245
NB	0.326851159312
CC	0.918300653595
LRR	0.925653594771
LRR	0.84477124183
CC	0.672385620915
LRR	0.423406862745
NB	0.315972222222
NB	0.270016339869
NB	0.75408496732
ID	0.0698529411765
ID	0.203453858608
LRR	0.806260118726
LRR	0.916891527253
LRR	0.964921748516
LRR	0.853750674582
NB	0.402860226659
ID	0.0709660010793
LRR	0.685105234754
LRR	0.559902860227
CC	0.429459064327
NB	0.563230994152
ID	0.109283625731
CC	0.361842105263
LRR	0.836622807018
LRR	0.707956600362
NB	0.435804701627
LRR	0.69122965642
LRR	0.711121157324
ID	0.0890596745027
LRR	0.733725135624
LRR	0.891952983725
LRR	0.683996383363
NB	0.264041514042
LRR	0.837301587302
LRR	0.708791208791
LRR	0.934981684982
LRR	0.604395604396
LRR	0.453296703297
LRR	0.529304029304
ID	0.0937118437118
LRR	0.62
NB	0.275348837209
ID	0.951162790698
CC	0.046511627907
NB	0.285353535354
LRR	0.475378787879
LRR	0.633207070707
LRR	0.774305555556
ID	0.101957070707
LRR	0.921401515152
NB	0.555888972243
CC	0.411852963241
ID	0.116279069767
CC	0.506001500375
LRR	0.825956489122
LRR	0.356981981982
ID	0.741272522523
ID	0.656531531532
ID	0.594313063063
NB	0.154842342342
CC	0.955215419501
ID	0.895408163265
LRR	0.471088435374
NB	0.22477324263
CC	0.0634920634921
ID	0.0851187029531
NB	0.512159814708
LRR	0.683265778807
LRR	0.874638100753
LRR	0.797690333618
NB	0.476903336185
ID	0.0658682634731
LRR	0.481741573034
LRR	0.336516853933
NB	0.18202247191
ID	0.724157303371
ID	0.915449438202
CC	0.0247191011236
CC	0.0685393258427
LRR	0.659362549801
LRR	0.68077689243
LRR	0.706673306773
NB	0.388446215139
ID	0.0816733067729
LRR	0.885458167331
LRR	0.650398406375
LRR	0.666832669323
LRR	0.69954954955
LRR	0.720720720721
LRR	0.715315315315
LRR	0.656306306306
ID	0.142342342342
NB	0.456306306306
LRR	0.741891891892
LRR	0.792342342342
LRR	0.665271966527
LRR	0.511356843993
LRR	0.349372384937
NB	0.182307232516
ID	0.846084877466
LRR	0.415122534369
NB	0.365771812081
ID	0.877516778523
CC	0.0453020134228
ID	0.758948545861
ID	0.16813559322
ID	0.307796610169
LRR	0.86
NB	0.627457627119
CC	0.100649350649
NB	0.220779220779
CC	0.037518037518
LRR	0.481240981241
ID	0.727272727273
ID	0.840909090909
ID	0.951298701299
NB	0.322680412371
LRR	0.574226804124
ID	0.871821305842
ID	0.938945420907
CC	0.0397779833488
LRR	0.610083256244
NB	0.290009250694
LRR	0.512567767373
CC	0.126663380976
ID	0.689748644653
NB	0.320354854608
ID	0.0783637259734
ID	0.806554953179
NB	0.232213438735
CC	0.0335968379447
ID	0.944664031621
LRR	0.647233201581
LRR	0.943594104308
LRR	0.833616780045
LRR	0.715419501134
NB	0.258219954649
LRR	0.417517006803
LRR	0.597789115646
LRR	0.489229024943
CC	0.0294784580499
ID	0.092970521542
ID	0.979280261723
CC	0.0556161395856
NB	0.351690294438
LRR	0.721919302072
NB	0.235143066764
ID	0.91819515774
CC	0.035216434336
LRR	0.388114453412
LRR	0.448275862069
LRR	0.542186353632
LRR	0.727224008574
CC	0.0546623794212
ID	0.979635584137
NB	0.354233654877
ID	0.904364224138
ID	0.942618534483
LRR	0.487877155172
ID	0.793372844828
LRR	0.46255387931
LRR	0.500538793103
CC	0.149784482759
NB	0.305765086207
CC	0.177838577291
LRR	0.562585499316
LRR	0.699042407661
LRR	0.880642954856
LRR	0.682626538988
NB	0.367989056088
LRR	0.923734610123
ID	0.116279069767
LRR	0.611149110807
LRR	0.623803009576
LRR	0.811901504788
LRR	0.354810495627
LRR	0.38221574344
LRR	0.34110787172
NB	0.178425655977
LRR	0.615160349854
LRR	0.507580174927
LRR	0.368221574344
LRR	0.492128279883
LRR	0.405539358601
LRR	0.620408163265
LRR	0.519241982507
LRR	0.506413994169
LRR	0.34139941691
ID	0.849854227405
LRR	0.423906705539
NB	0.195723684211
ID	0.815131578947
LRR	0.452960526316
LRR	0.48125
NB	0.247916666667
ID	0.898263888889
ID	0.815625
CC	0.0358504958047
NB	0.243325705568
ID	0.919527078566
LRR	0.52822273074
LRR	0.315361445783
ID	0.842771084337
LRR	0.381024096386
LRR	0.400602409639
LRR	0.597891566265
LRR	0.487048192771
LRR	0.315060240964
LRR	0.471084337349
LRR	0.603614457831
LRR	0.32921686747
LRR	0.357530120482
NB	0.146987951807
LRR	0.485843373494
LRR	0.343072289157
